,worldbank_stats_by_country_2015-2019.csv column names
7115,Gross capital formation (annual % growth) 2015
7116,Gross capital formation (annual % growth) 2016
7117,Gross capital formation (annual % growth) 2017
7118,Gross capital formation (annual % growth) 2018
7119,Gross capital formation (annual % growth) 2019
7120,Gross capital formation (constant LCU) 2015
7121,Gross capital formation (constant LCU) 2016
7122,Gross capital formation (constant LCU) 2017
7123,Gross capital formation (constant LCU) 2018
7124,Gross capital formation (constant LCU) 2019
7125,Gross capital formation (% of GDP) 2015
7126,Gross capital formation (% of GDP) 2016
7127,Gross capital formation (% of GDP) 2017
7128,Gross capital formation (% of GDP) 2018
7129,Gross capital formation (% of GDP) 2019
7130,Imports of goods and services (current US$) 2015
7131,Imports of goods and services (current US$) 2016
7132,Imports of goods and services (current US$) 2017
7133,Imports of goods and services (current US$) 2018
7134,Imports of goods and services (current US$) 2019
7135,Imports of goods and services (current LCU) 2015
7136,Imports of goods and services (current LCU) 2016
7137,Imports of goods and services (current LCU) 2017
7138,Imports of goods and services (current LCU) 2018
7139,Imports of goods and services (current LCU) 2019
7140,Imports of goods and services (constant 2010 US$) 2015
7141,Imports of goods and services (constant 2010 US$) 2016
7142,Imports of goods and services (constant 2010 US$) 2017
7143,Imports of goods and services (constant 2010 US$) 2018
7144,Imports of goods and services (constant 2010 US$) 2019
7145,Imports of goods and services (annual % growth) 2015
7146,Imports of goods and services (annual % growth) 2016
7147,Imports of goods and services (annual % growth) 2017
7148,Imports of goods and services (annual % growth) 2018
7149,Imports of goods and services (annual % growth) 2019
7150,Imports of goods and services (constant LCU) 2015
7151,Imports of goods and services (constant LCU) 2016
7152,Imports of goods and services (constant LCU) 2017
7153,Imports of goods and services (constant LCU) 2018
7154,Imports of goods and services (constant LCU) 2019
7155,Imports of goods and services (% of GDP) 2015
7156,Imports of goods and services (% of GDP) 2016
7157,Imports of goods and services (% of GDP) 2017
7158,Imports of goods and services (% of GDP) 2018
7159,Imports of goods and services (% of GDP) 2019
7160,External balance on goods and services (current US$) 2015
7161,External balance on goods and services (current US$) 2016
7162,External balance on goods and services (current US$) 2017
7163,External balance on goods and services (current US$) 2018
7164,External balance on goods and services (current US$) 2019
7165,External balance on goods and services (current LCU) 2015
7166,External balance on goods and services (current LCU) 2016
7167,External balance on goods and services (current LCU) 2017
7168,External balance on goods and services (current LCU) 2018
7169,External balance on goods and services (current LCU) 2019
7170,External balance on goods and services (constant LCU) 2015
7171,External balance on goods and services (constant LCU) 2016
7172,External balance on goods and services (constant LCU) 2017
7173,External balance on goods and services (constant LCU) 2018
7174,External balance on goods and services (constant LCU) 2019
7175,External balance on goods and services (% of GDP) 2015
7176,External balance on goods and services (% of GDP) 2016
7177,External balance on goods and services (% of GDP) 2017
7178,External balance on goods and services (% of GDP) 2018
7179,External balance on goods and services (% of GDP) 2019
7180,Trade (% of GDP) 2015
7181,Trade (% of GDP) 2016
7182,Trade (% of GDP) 2017
7183,Trade (% of GDP) 2018
7184,Trade (% of GDP) 2019
7185,"Agriculture, value added per worker (constant 2010 US$) 2015"
7186,"Agriculture, value added per worker (constant 2010 US$) 2016"
7187,"Agriculture, value added per worker (constant 2010 US$) 2017"
7188,"Agriculture, value added per worker (constant 2010 US$) 2018"
7189,"Agriculture, value added per worker (constant 2010 US$) 2019"
7190,"Agriculture, value added (current US$) 2015"
7191,"Agriculture, value added (current US$) 2016"
7192,"Agriculture, value added (current US$) 2017"
7193,"Agriculture, value added (current US$) 2018"
7194,"Agriculture, value added (current US$) 2019"
7195,"Agriculture, value added (current LCU) 2015"
7196,"Agriculture, value added (current LCU) 2016"
7197,"Agriculture, value added (current LCU) 2017"
7198,"Agriculture, value added (current LCU) 2018"
7199,"Agriculture, value added (current LCU) 2019"
7200,"Agriculture, value added (constant 2010 US$) 2015"
7201,"Agriculture, value added (constant 2010 US$) 2016"
7202,"Agriculture, value added (constant 2010 US$) 2017"
7203,"Agriculture, value added (constant 2010 US$) 2018"
7204,"Agriculture, value added (constant 2010 US$) 2019"
7205,"Agriculture, value added (annual % growth) 2015"
7206,"Agriculture, value added (annual % growth) 2016"
7207,"Agriculture, value added (annual % growth) 2017"
7208,"Agriculture, value added (annual % growth) 2018"
7209,"Agriculture, value added (annual % growth) 2019"
7210,"Agriculture, value added (constant LCU) 2015"
7211,"Agriculture, value added (constant LCU) 2016"
7212,"Agriculture, value added (constant LCU) 2017"
7213,"Agriculture, value added (constant LCU) 2018"
7214,"Agriculture, value added (constant LCU) 2019"
7215,"Agriculture, value added (% of GDP) 2015"
7216,"Agriculture, value added (% of GDP) 2016"
7217,"Agriculture, value added (% of GDP) 2017"
7218,"Agriculture, value added (% of GDP) 2018"
7219,"Agriculture, value added (% of GDP) 2019"
7220,Financial intermediary services indirectly Measured (FISIM) (current LCU) 2015
7221,Financial intermediary services indirectly Measured (FISIM) (current LCU) 2016
7222,Financial intermediary services indirectly Measured (FISIM) (current LCU) 2017
7223,Financial intermediary services indirectly Measured (FISIM) (current LCU) 2018
7224,Financial intermediary services indirectly Measured (FISIM) (current LCU) 2019
7225,Financial intermediary services indirectly Measured (FISIM) (constant LCU) 2015
7226,Financial intermediary services indirectly Measured (FISIM) (constant LCU) 2016
7227,Financial intermediary services indirectly Measured (FISIM) (constant LCU) 2017
7228,Financial intermediary services indirectly Measured (FISIM) (constant LCU) 2018
7229,Financial intermediary services indirectly Measured (FISIM) (constant LCU) 2019
7230,"Industry, value added per worker (constant 2010 US$) 2015"
7231,"Industry, value added per worker (constant 2010 US$) 2016"
7232,"Industry, value added per worker (constant 2010 US$) 2017"
7233,"Industry, value added per worker (constant 2010 US$) 2018"
7234,"Industry, value added per worker (constant 2010 US$) 2019"
7235,"Manufacturing, value added (current US$) 2015"
7236,"Manufacturing, value added (current US$) 2016"
7237,"Manufacturing, value added (current US$) 2017"
7238,"Manufacturing, value added (current US$) 2018"
7239,"Manufacturing, value added (current US$) 2019"
7240,"Manufacturing, value added (current LCU) 2015"
7241,"Manufacturing, value added (current LCU) 2016"
7242,"Manufacturing, value added (current LCU) 2017"
7243,"Manufacturing, value added (current LCU) 2018"
7244,"Manufacturing, value added (current LCU) 2019"
7245,"Manufacturing, value added (constant 2010 US$) 2015"
7246,"Manufacturing, value added (constant 2010 US$) 2016"
7247,"Manufacturing, value added (constant 2010 US$) 2017"
7248,"Manufacturing, value added (constant 2010 US$) 2018"
7249,"Manufacturing, value added (constant 2010 US$) 2019"
7250,"Manufacturing, value added (annual % growth) 2015"
7251,"Manufacturing, value added (annual % growth) 2016"
7252,"Manufacturing, value added (annual % growth) 2017"
7253,"Manufacturing, value added (annual % growth) 2018"
7254,"Manufacturing, value added (annual % growth) 2019"
7255,"Manufacturing, value added (constant LCU) 2015"
7256,"Manufacturing, value added (constant LCU) 2016"
7257,"Manufacturing, value added (constant LCU) 2017"
7258,"Manufacturing, value added (constant LCU) 2018"
7259,"Manufacturing, value added (constant LCU) 2019"
7260,"Manufacturing, value added (% of GDP) 2015"
7261,"Manufacturing, value added (% of GDP) 2016"
7262,"Manufacturing, value added (% of GDP) 2017"
7263,"Manufacturing, value added (% of GDP) 2018"
7264,"Manufacturing, value added (% of GDP) 2019"
7265,"Industry, value added (current US$) 2015"
7266,"Industry, value added (current US$) 2016"
7267,"Industry, value added (current US$) 2017"
7268,"Industry, value added (current US$) 2018"
7269,"Industry, value added (current US$) 2019"
7270,"Industry, value added (current LCU) 2015"
7271,"Industry, value added (current LCU) 2016"
7272,"Industry, value added (current LCU) 2017"
7273,"Industry, value added (current LCU) 2018"
7274,"Industry, value added (current LCU) 2019"
7275,"Industry, value added (constant 2010 US$) 2015"
7276,"Industry, value added (constant 2010 US$) 2016"
7277,"Industry, value added (constant 2010 US$) 2017"
7278,"Industry, value added (constant 2010 US$) 2018"
7279,"Industry, value added (constant 2010 US$) 2019"
7280,"Industry, value added (annual % growth) 2015"
7281,"Industry, value added (annual % growth) 2016"
7282,"Industry, value added (annual % growth) 2017"
7283,"Industry, value added (annual % growth) 2018"
7284,"Industry, value added (annual % growth) 2019"
7285,"Industry, value added (constant LCU) 2015"
7286,"Industry, value added (constant LCU) 2016"
7287,"Industry, value added (constant LCU) 2017"
7288,"Industry, value added (constant LCU) 2018"
7289,"Industry, value added (constant LCU) 2019"
7290,"Industry, value added (% of GDP) 2015"
7291,"Industry, value added (% of GDP) 2016"
7292,"Industry, value added (% of GDP) 2017"
7293,"Industry, value added (% of GDP) 2018"
7294,"Industry, value added (% of GDP) 2019"
7295,Chemicals (% of value added in manufacturing) 2015
7296,Chemicals (% of value added in manufacturing) 2016
7297,Chemicals (% of value added in manufacturing) 2017
7298,Chemicals (% of value added in manufacturing) 2018
7299,Chemicals (% of value added in manufacturing) 2019
7300,"Food, beverages and tobacco (% of value added in manufacturing) 2015"
7301,"Food, beverages and tobacco (% of value added in manufacturing) 2016"
7302,"Food, beverages and tobacco (% of value added in manufacturing) 2017"
7303,"Food, beverages and tobacco (% of value added in manufacturing) 2018"
7304,"Food, beverages and tobacco (% of value added in manufacturing) 2019"
7305,Machinery and transport equipment (% of value added in manufacturing) 2015
7306,Machinery and transport equipment (% of value added in manufacturing) 2016
7307,Machinery and transport equipment (% of value added in manufacturing) 2017
7308,Machinery and transport equipment (% of value added in manufacturing) 2018
7309,Machinery and transport equipment (% of value added in manufacturing) 2019
7310,Other manufacturing (% of value added in manufacturing) 2015
7311,Other manufacturing (% of value added in manufacturing) 2016
7312,Other manufacturing (% of value added in manufacturing) 2017
7313,Other manufacturing (% of value added in manufacturing) 2018
7314,Other manufacturing (% of value added in manufacturing) 2019
7315,Medium and high-tech industry (% manufacturing value added) 2015
7316,Medium and high-tech industry (% manufacturing value added) 2016
7317,Medium and high-tech industry (% manufacturing value added) 2017
7318,Medium and high-tech industry (% manufacturing value added) 2018
7319,Medium and high-tech industry (% manufacturing value added) 2019
7320,Textiles and clothing (% of value added in manufacturing) 2015
7321,Textiles and clothing (% of value added in manufacturing) 2016
7322,Textiles and clothing (% of value added in manufacturing) 2017
7323,Textiles and clothing (% of value added in manufacturing) 2018
7324,Textiles and clothing (% of value added in manufacturing) 2019
7325,"Services, value added per worker (constant 2010 US$) 2015"
7326,"Services, value added per worker (constant 2010 US$) 2016"
7327,"Services, value added per worker (constant 2010 US$) 2017"
7328,"Services, value added per worker (constant 2010 US$) 2018"
7329,"Services, value added per worker (constant 2010 US$) 2019"
7330,"Services, value added (current US$) 2015"
7331,"Services, value added (current US$) 2016"
7332,"Services, value added (current US$) 2017"
7333,"Services, value added (current US$) 2018"
7334,"Services, value added (current US$) 2019"
7335,"Services, value added (current LCU) 2015"
7336,"Services, value added (current LCU) 2016"
7337,"Services, value added (current LCU) 2017"
7338,"Services, value added (current LCU) 2018"
7339,"Services, value added (current LCU) 2019"
7340,"Services, value added (constant 2010 US$) 2015"
7341,"Services, value added (constant 2010 US$) 2016"
7342,"Services, value added (constant 2010 US$) 2017"
7343,"Services, value added (constant 2010 US$) 2018"
7344,"Services, value added (constant 2010 US$) 2019"
7345,"Services, value added (annual % growth) 2015"
7346,"Services, value added (annual % growth) 2016"
7347,"Services, value added (annual % growth) 2017"
7348,"Services, value added (annual % growth) 2018"
7349,"Services, value added (annual % growth) 2019"
7350,"Services, value added (constant LCU) 2015"
7351,"Services, value added (constant LCU) 2016"
7352,"Services, value added (constant LCU) 2017"
7353,"Services, value added (constant LCU) 2018"
7354,"Services, value added (constant LCU) 2019"
7355,"Services, value added (% of GDP) 2015"
7356,"Services, value added (% of GDP) 2016"
7357,"Services, value added (% of GDP) 2017"
7358,"Services, value added (% of GDP) 2018"
7359,"Services, value added (% of GDP) 2019"
7360,Adjusted savings: education expenditure (current US$) 2015
7361,Adjusted savings: education expenditure (current US$) 2016
7362,Adjusted savings: education expenditure (current US$) 2017
7363,Adjusted savings: education expenditure (current US$) 2018
7364,Adjusted savings: education expenditure (current US$) 2019
7365,Adjusted savings: education expenditure (% of GNI) 2015
7366,Adjusted savings: education expenditure (% of GNI) 2016
7367,Adjusted savings: education expenditure (% of GNI) 2017
7368,Adjusted savings: education expenditure (% of GNI) 2018
7369,Adjusted savings: education expenditure (% of GNI) 2019
7370,Adjusted savings: carbon dioxide damage (current US$) 2015
7371,Adjusted savings: carbon dioxide damage (current US$) 2016
7372,Adjusted savings: carbon dioxide damage (current US$) 2017
7373,Adjusted savings: carbon dioxide damage (current US$) 2018
7374,Adjusted savings: carbon dioxide damage (current US$) 2019
7375,Adjusted savings: carbon dioxide damage (% of GNI) 2015
7376,Adjusted savings: carbon dioxide damage (% of GNI) 2016
7377,Adjusted savings: carbon dioxide damage (% of GNI) 2017
7378,Adjusted savings: carbon dioxide damage (% of GNI) 2018
7379,Adjusted savings: carbon dioxide damage (% of GNI) 2019
7380,Adjusted savings: net forest depletion (current US$) 2015
7381,Adjusted savings: net forest depletion (current US$) 2016
7382,Adjusted savings: net forest depletion (current US$) 2017
7383,Adjusted savings: net forest depletion (current US$) 2018
7384,Adjusted savings: net forest depletion (current US$) 2019
7385,Adjusted savings: net forest depletion (% of GNI) 2015
7386,Adjusted savings: net forest depletion (% of GNI) 2016
7387,Adjusted savings: net forest depletion (% of GNI) 2017
7388,Adjusted savings: net forest depletion (% of GNI) 2018
7389,Adjusted savings: net forest depletion (% of GNI) 2019
7390,Adjusted savings: consumption of fixed capital (current US$) 2015
7391,Adjusted savings: consumption of fixed capital (current US$) 2016
7392,Adjusted savings: consumption of fixed capital (current US$) 2017
7393,Adjusted savings: consumption of fixed capital (current US$) 2018
7394,Adjusted savings: consumption of fixed capital (current US$) 2019
7395,Adjusted savings: consumption of fixed capital (% of GNI) 2015
7396,Adjusted savings: consumption of fixed capital (% of GNI) 2016
7397,Adjusted savings: consumption of fixed capital (% of GNI) 2017
7398,Adjusted savings: consumption of fixed capital (% of GNI) 2018
7399,Adjusted savings: consumption of fixed capital (% of GNI) 2019
7400,Adjusted savings: mineral depletion (current US$) 2015
7401,Adjusted savings: mineral depletion (current US$) 2016
7402,Adjusted savings: mineral depletion (current US$) 2017
7403,Adjusted savings: mineral depletion (current US$) 2018
7404,Adjusted savings: mineral depletion (current US$) 2019
7405,Adjusted savings: mineral depletion (% of GNI) 2015
7406,Adjusted savings: mineral depletion (% of GNI) 2016
7407,Adjusted savings: mineral depletion (% of GNI) 2017
7408,Adjusted savings: mineral depletion (% of GNI) 2018
7409,Adjusted savings: mineral depletion (% of GNI) 2019
7410,Adjusted savings: energy depletion (current US$) 2015
7411,Adjusted savings: energy depletion (current US$) 2016
7412,Adjusted savings: energy depletion (current US$) 2017
7413,Adjusted savings: energy depletion (current US$) 2018
7414,Adjusted savings: energy depletion (current US$) 2019
7415,Adjusted savings: energy depletion (% of GNI) 2015
7416,Adjusted savings: energy depletion (% of GNI) 2016
7417,Adjusted savings: energy depletion (% of GNI) 2017
7418,Adjusted savings: energy depletion (% of GNI) 2018
7419,Adjusted savings: energy depletion (% of GNI) 2019
7420,Adjusted savings: particulate emission damage (current US$) 2015
7421,Adjusted savings: particulate emission damage (current US$) 2016
7422,Adjusted savings: particulate emission damage (current US$) 2017
7423,Adjusted savings: particulate emission damage (current US$) 2018
7424,Adjusted savings: particulate emission damage (current US$) 2019
7425,Adjusted savings: particulate emission damage (% of GNI) 2015
7426,Adjusted savings: particulate emission damage (% of GNI) 2016
7427,Adjusted savings: particulate emission damage (% of GNI) 2017
7428,Adjusted savings: particulate emission damage (% of GNI) 2018
7429,Adjusted savings: particulate emission damage (% of GNI) 2019
7430,Adjusted savings: natural resources depletion (% of GNI) 2015
7431,Adjusted savings: natural resources depletion (% of GNI) 2016
7432,Adjusted savings: natural resources depletion (% of GNI) 2017
7433,Adjusted savings: natural resources depletion (% of GNI) 2018
7434,Adjusted savings: natural resources depletion (% of GNI) 2019
7435,Adjusted savings: gross savings (% of GNI) 2015
7436,Adjusted savings: gross savings (% of GNI) 2016
7437,Adjusted savings: gross savings (% of GNI) 2017
7438,Adjusted savings: gross savings (% of GNI) 2018
7439,Adjusted savings: gross savings (% of GNI) 2019
7440,Adjusted savings: net national savings (current US$) 2015
7441,Adjusted savings: net national savings (current US$) 2016
7442,Adjusted savings: net national savings (current US$) 2017
7443,Adjusted savings: net national savings (current US$) 2018
7444,Adjusted savings: net national savings (current US$) 2019
7445,Adjusted savings: net national savings (% of GNI) 2015
7446,Adjusted savings: net national savings (% of GNI) 2016
7447,Adjusted savings: net national savings (% of GNI) 2017
7448,Adjusted savings: net national savings (% of GNI) 2018
7449,Adjusted savings: net national savings (% of GNI) 2019
7450,Adjusted net national income (current US$) 2015
7451,Adjusted net national income (current US$) 2016
7452,Adjusted net national income (current US$) 2017
7453,Adjusted net national income (current US$) 2018
7454,Adjusted net national income (current US$) 2019
7455,Adjusted net national income (constant 2010 US$) 2015
7456,Adjusted net national income (constant 2010 US$) 2016
7457,Adjusted net national income (constant 2010 US$) 2017
7458,Adjusted net national income (constant 2010 US$) 2018
7459,Adjusted net national income (constant 2010 US$) 2019
7460,Adjusted net national income (annual % growth) 2015
7461,Adjusted net national income (annual % growth) 2016
7462,Adjusted net national income (annual % growth) 2017
7463,Adjusted net national income (annual % growth) 2018
7464,Adjusted net national income (annual % growth) 2019
7465,Adjusted net national income per capita (current US$) 2015
7466,Adjusted net national income per capita (current US$) 2016
7467,Adjusted net national income per capita (current US$) 2017
7468,Adjusted net national income per capita (current US$) 2018
7469,Adjusted net national income per capita (current US$) 2019
7470,Adjusted net national income per capita (constant 2010 US$) 2015
7471,Adjusted net national income per capita (constant 2010 US$) 2016
7472,Adjusted net national income per capita (constant 2010 US$) 2017
7473,Adjusted net national income per capita (constant 2010 US$) 2018
7474,Adjusted net national income per capita (constant 2010 US$) 2019
7475,Adjusted net national income per capita (annual % growth) 2015
7476,Adjusted net national income per capita (annual % growth) 2016
7477,Adjusted net national income per capita (annual % growth) 2017
7478,Adjusted net national income per capita (annual % growth) 2018
7479,Adjusted net national income per capita (annual % growth) 2019
7480,"Adjusted net savings, including particulate emission damage (current US$) 2015"
7481,"Adjusted net savings, including particulate emission damage (current US$) 2016"
7482,"Adjusted net savings, including particulate emission damage (current US$) 2017"
7483,"Adjusted net savings, including particulate emission damage (current US$) 2018"
7484,"Adjusted net savings, including particulate emission damage (current US$) 2019"
7485,"Adjusted net savings, including particulate emission damage (% of GNI) 2015"
7486,"Adjusted net savings, including particulate emission damage (% of GNI) 2016"
7487,"Adjusted net savings, including particulate emission damage (% of GNI) 2017"
7488,"Adjusted net savings, including particulate emission damage (% of GNI) 2018"
7489,"Adjusted net savings, including particulate emission damage (% of GNI) 2019"
7490,"Adjusted net savings, excluding particulate emission damage (current US$) 2015"
7491,"Adjusted net savings, excluding particulate emission damage (current US$) 2016"
7492,"Adjusted net savings, excluding particulate emission damage (current US$) 2017"
7493,"Adjusted net savings, excluding particulate emission damage (current US$) 2018"
7494,"Adjusted net savings, excluding particulate emission damage (current US$) 2019"
7495,"Adjusted net savings, excluding particulate emission damage (% of GNI) 2015"
7496,"Adjusted net savings, excluding particulate emission damage (% of GNI) 2016"
7497,"Adjusted net savings, excluding particulate emission damage (% of GNI) 2017"
7498,"Adjusted net savings, excluding particulate emission damage (% of GNI) 2018"
7499,"Adjusted net savings, excluding particulate emission damage (% of GNI) 2019"
7500,Exports as a capacity to import (constant LCU) 2015
7501,Exports as a capacity to import (constant LCU) 2016
7502,Exports as a capacity to import (constant LCU) 2017
7503,Exports as a capacity to import (constant LCU) 2018
7504,Exports as a capacity to import (constant LCU) 2019
7505,Coal rents (% of GDP) 2015
7506,Coal rents (% of GDP) 2016
7507,Coal rents (% of GDP) 2017
7508,Coal rents (% of GDP) 2018
7509,Coal rents (% of GDP) 2019
7510,"Inflation, GDP deflator (annual %) 2015"
7511,"Inflation, GDP deflator (annual %) 2016"
7512,"Inflation, GDP deflator (annual %) 2017"
7513,"Inflation, GDP deflator (annual %) 2018"
7514,"Inflation, GDP deflator (annual %) 2019"
7515,"Inflation, GDP deflator: linked series (annual %) 2015"
7516,"Inflation, GDP deflator: linked series (annual %) 2016"
7517,"Inflation, GDP deflator: linked series (annual %) 2017"
7518,"Inflation, GDP deflator: linked series (annual %) 2018"
7519,"Inflation, GDP deflator: linked series (annual %) 2019"
7520,GDP deflator (base year varies by country) 2015
7521,GDP deflator (base year varies by country) 2016
7522,GDP deflator (base year varies by country) 2017
7523,GDP deflator (base year varies by country) 2018
7524,GDP deflator (base year varies by country) 2019
7525,GDP deflator: linked series (base year varies by country) 2015
7526,GDP deflator: linked series (base year varies by country) 2016
7527,GDP deflator: linked series (base year varies by country) 2017
7528,GDP deflator: linked series (base year varies by country) 2018
7529,GDP deflator: linked series (base year varies by country) 2019
7530,Discrepancy in expenditure estimate of GDP (current LCU) 2015
7531,Discrepancy in expenditure estimate of GDP (current LCU) 2016
7532,Discrepancy in expenditure estimate of GDP (current LCU) 2017
7533,Discrepancy in expenditure estimate of GDP (current LCU) 2018
7534,Discrepancy in expenditure estimate of GDP (current LCU) 2019
7535,Discrepancy in expenditure estimate of GDP (constant LCU) 2015
7536,Discrepancy in expenditure estimate of GDP (constant LCU) 2016
7537,Discrepancy in expenditure estimate of GDP (constant LCU) 2017
7538,Discrepancy in expenditure estimate of GDP (constant LCU) 2018
7539,Discrepancy in expenditure estimate of GDP (constant LCU) 2019
7540,Gross value added at factor cost (current US$) 2015
7541,Gross value added at factor cost (current US$) 2016
7542,Gross value added at factor cost (current US$) 2017
7543,Gross value added at factor cost (current US$) 2018
7544,Gross value added at factor cost (current US$) 2019
7545,Gross value added at factor cost (current LCU) 2015
7546,Gross value added at factor cost (current LCU) 2016
7547,Gross value added at factor cost (current LCU) 2017
7548,Gross value added at factor cost (current LCU) 2018
7549,Gross value added at factor cost (current LCU) 2019
7550,Gross value added at factor cost (constant 2010 US$) 2015
7551,Gross value added at factor cost (constant 2010 US$) 2016
7552,Gross value added at factor cost (constant 2010 US$) 2017
7553,Gross value added at factor cost (constant 2010 US$) 2018
7554,Gross value added at factor cost (constant 2010 US$) 2019
7555,Gross value added at factor cost (constant LCU) 2015
7556,Gross value added at factor cost (constant LCU) 2016
7557,Gross value added at factor cost (constant LCU) 2017
7558,Gross value added at factor cost (constant LCU) 2018
7559,Gross value added at factor cost (constant LCU) 2019
7560,Forest rents (% of GDP) 2015
7561,Forest rents (% of GDP) 2016
7562,Forest rents (% of GDP) 2017
7563,Forest rents (% of GDP) 2018
7564,Forest rents (% of GDP) 2019
7565,Mineral rents (% of GDP) 2015
7566,Mineral rents (% of GDP) 2016
7567,Mineral rents (% of GDP) 2017
7568,Mineral rents (% of GDP) 2018
7569,Mineral rents (% of GDP) 2019
7570,GDP (current US$) 2015
7571,GDP (current US$) 2016
7572,GDP (current US$) 2017
7573,GDP (current US$) 2018
7574,GDP (current US$) 2019
7575,GDP (current LCU) 2015
7576,GDP (current LCU) 2016
7577,GDP (current LCU) 2017
7578,GDP (current LCU) 2018
7579,GDP (current LCU) 2019
7580,GDP at market prices: linked series (current LCU) 2015
7581,GDP at market prices: linked series (current LCU) 2016
7582,GDP at market prices: linked series (current LCU) 2017
7583,GDP at market prices: linked series (current LCU) 2018
7584,GDP at market prices: linked series (current LCU) 2019
7585,GDP (constant 2010 US$) 2015
7586,GDP (constant 2010 US$) 2016
7587,GDP (constant 2010 US$) 2017
7588,GDP (constant 2010 US$) 2018
7589,GDP (constant 2010 US$) 2019
7590,GDP growth (annual %) 2015
7591,GDP growth (annual %) 2016
7592,GDP growth (annual %) 2017
7593,GDP growth (annual %) 2018
7594,GDP growth (annual %) 2019
7595,GDP (constant LCU) 2015
7596,GDP (constant LCU) 2016
7597,GDP (constant LCU) 2017
7598,GDP (constant LCU) 2018
7599,GDP (constant LCU) 2019
7600,"GDP, PPP (current international $) 2015"
7601,"GDP, PPP (current international $) 2016"
7602,"GDP, PPP (current international $) 2017"
7603,"GDP, PPP (current international $) 2018"
7604,"GDP, PPP (current international $) 2019"
7605,"GDP, PPP (constant 2011 international $) 2015"
7606,"GDP, PPP (constant 2011 international $) 2016"
7607,"GDP, PPP (constant 2011 international $) 2017"
7608,"GDP, PPP (constant 2011 international $) 2018"
7609,"GDP, PPP (constant 2011 international $) 2019"
7610,Natural gas rents (% of GDP) 2015
7611,Natural gas rents (% of GDP) 2016
7612,Natural gas rents (% of GDP) 2017
7613,Natural gas rents (% of GDP) 2018
7614,Natural gas rents (% of GDP) 2019
7615,GDP per capita (current US$) 2015
7616,GDP per capita (current US$) 2016
7617,GDP per capita (current US$) 2017
7618,GDP per capita (current US$) 2018
7619,GDP per capita (current US$) 2019
7620,GDP per capita (current LCU) 2015
7621,GDP per capita (current LCU) 2016
7622,GDP per capita (current LCU) 2017
7623,GDP per capita (current LCU) 2018
7624,GDP per capita (current LCU) 2019
7625,GDP per capita (constant 2010 US$) 2015
7626,GDP per capita (constant 2010 US$) 2016
7627,GDP per capita (constant 2010 US$) 2017
7628,GDP per capita (constant 2010 US$) 2018
7629,GDP per capita (constant 2010 US$) 2019
7630,GDP per capita growth (annual %) 2015
7631,GDP per capita growth (annual %) 2016
7632,GDP per capita growth (annual %) 2017
7633,GDP per capita growth (annual %) 2018
7634,GDP per capita growth (annual %) 2019
7635,GDP per capita (constant LCU) 2015
7636,GDP per capita (constant LCU) 2016
7637,GDP per capita (constant LCU) 2017
7638,GDP per capita (constant LCU) 2018
7639,GDP per capita (constant LCU) 2019
7640,"GDP per capita, PPP (current international $) 2015"
7641,"GDP per capita, PPP (current international $) 2016"
7642,"GDP per capita, PPP (current international $) 2017"
7643,"GDP per capita, PPP (current international $) 2018"
7644,"GDP per capita, PPP (current international $) 2019"
7645,"GDP per capita, PPP (constant 2011 international $) 2015"
7646,"GDP per capita, PPP (constant 2011 international $) 2016"
7647,"GDP per capita, PPP (constant 2011 international $) 2017"
7648,"GDP per capita, PPP (constant 2011 international $) 2018"
7649,"GDP per capita, PPP (constant 2011 international $) 2019"
7650,Oil rents (% of GDP) 2015
7651,Oil rents (% of GDP) 2016
7652,Oil rents (% of GDP) 2017
7653,Oil rents (% of GDP) 2018
7654,Oil rents (% of GDP) 2019
7655,Total natural resources rents (% of GDP) 2015
7656,Total natural resources rents (% of GDP) 2016
7657,Total natural resources rents (% of GDP) 2017
7658,Total natural resources rents (% of GDP) 2018
7659,Total natural resources rents (% of GDP) 2019
7660,Gross domestic savings (current US$) 2015
7661,Gross domestic savings (current US$) 2016
7662,Gross domestic savings (current US$) 2017
7663,Gross domestic savings (current US$) 2018
7664,Gross domestic savings (current US$) 2019
7665,Gross domestic savings (current LCU) 2015
7666,Gross domestic savings (current LCU) 2016
7667,Gross domestic savings (current LCU) 2017
7668,Gross domestic savings (current LCU) 2018
7669,Gross domestic savings (current LCU) 2019
7670,Gross domestic savings (% of GDP) 2015
7671,Gross domestic savings (% of GDP) 2016
7672,Gross domestic savings (% of GDP) 2017
7673,Gross domestic savings (% of GDP) 2018
7674,Gross domestic savings (% of GDP) 2019
7675,Gross domestic income (constant LCU) 2015
7676,Gross domestic income (constant LCU) 2016
7677,Gross domestic income (constant LCU) 2017
7678,Gross domestic income (constant LCU) 2018
7679,Gross domestic income (constant LCU) 2019
7680,"GNI, Atlas method (current US$) 2015"
7681,"GNI, Atlas method (current US$) 2016"
7682,"GNI, Atlas method (current US$) 2017"
7683,"GNI, Atlas method (current US$) 2018"
7684,"GNI, Atlas method (current US$) 2019"
7685,GNI (current US$) 2015
7686,GNI (current US$) 2016
7687,GNI (current US$) 2017
7688,GNI (current US$) 2018
7689,GNI (current US$) 2019
7690,GNI (current LCU) 2015
7691,GNI (current LCU) 2016
7692,GNI (current LCU) 2017
7693,GNI (current LCU) 2018
7694,GNI (current LCU) 2019
7695,GNI (constant 2010 US$) 2015
7696,GNI (constant 2010 US$) 2016
